Category,PTG,PT,Required,Optional,ConRequ
Home,All Coffee and Tea Appliances & Accessories,Coffee & Espresso Maker Parts,Brand|Main Image URL|Product Long Description|Correct Product Name|Product Short Description|Correct Product Type|Volume Capacity|Assembled Product Height|Assembled Product Length|Assembled Product Width|Coffee and Espresso Maker Part Type|Count|Finish|Manufacturer|Manufacturer Part Number|Material|Model|Product Secondary Image URL,Color Category|Features|Occasion|Product Line|Sports League|Sports Team|Compatible Brands|Compatible Models|Items Included,
Home,All Coffee and Tea Appliances & Accessories,Matcha Tea Bowls & Whisks,Brand|Main Image URL|Product Long Description|Correct Product Name|Product Short Description|Correct Product Type|Volume Capacity|Count|Finish|Matcha Tea Bowl and Whisk Type|Material|Product Secondary Image URL,Color Category|Features|Occasion|Product Line|Sports League|Sports Team|Items Included|Pattern,
Home,All Coffee and Tea Appliances & Accessories,Milk Frothers & Steamers,Brand|Main Image URL|Product Long Description|Correct Product Name|Product Short Description|Correct Product Type|Volume Capacity|Assembled Product Height|Assembled Product Length|Assembled Product Width|Body Material|Finish|is Powered|Manufacturer|Manufacturer Part Number|Milk Frother and Steamer Type|Model|Product Secondary Image URL,Color Category|Features|Occasion|Product Line|Sports League|Sports Team,
Home,All Coffee and Tea Appliances & Accessories,Toddy Brewing Containers,Brand|Main Image URL|Product Long Description|Correct Product Name|Product Short Description|Correct Product Type|Volume Capacity|Assembled Product Height|Assembled Product Length|Assembled Product Width|Body Material|Count|Product Secondary Image URL,Color Category|Features|Occasion|Product Line|Sports League|Sports Team|Compatible Brands|Compatible Models,
Home,All Coffee and Tea Appliances & Accessories,Air Press Coffee Makers,Brand|Main Image URL|Product Long Description|Correct Product Name|Product Short Description|Correct Product Type|Air Press Coffee Maker Type|Assembled Product Length|Assembled Product Width|Body Material|Finish|Model|Number of Cups|Recommended Use|Product Secondary Image URL,Color Category|Features|Occasion|Product Line|Sports League|Sports Team|Items Included,
Home,All Coffee and Tea Appliances & Accessories,Coffee & Tea Urns,Brand|Main Image URL|Product Long Description|Correct Product Name|Product Short Description|Correct Product Type|Assembled Product Height|Assembled Product Length|Assembled Product Width|Body Material|Coffee and Tea Urn Type|Finish|is Powered|Model|Number of Cups|Recommended Use|Product Secondary Image URL,Color Category|Features|Occasion|Product Line|Sports League|Sports Team,
Home,All Coffee and Tea Appliances & Accessories,Coffee Decanters,Brand|Main Image URL|Product Long Description|Correct Product Name|Product Short Description|Correct Product Type|Assembled Product Height|Assembled Product Length|Assembled Product Width|Body Material|Coffee Decanter Type|Model|Number of Cups|Recommended Use|Product Secondary Image URL,Color Category|Features|Occasion|Product Line|Sports League|Sports Team,
Home,All Coffee and Tea Appliances & Accessories,Coffee Drippers,Brand|Main Image URL|Product Long Description|Correct Product Name|Product Short Description|Correct Product Type|Assembled Product Height|Assembled Product Length|Assembled Product Width|Coffee Dripper Type|Count|Finish|Material|Product Secondary Image URL,Color Category|Features|Occasion|Product Line|Sports League|Sports Team|Items Included,
Home,All Coffee and Tea Appliances & Accessories,Coffee French Presses,Brand|Main Image URL|Product Long Description|Correct Product Name|Product Short Description|Correct Product Type|Assembled Product Height|Assembled Product Length|Assembled Product Width|Body Material|Coffee French Press Type|Finish|Model|Number of Cups|Product Secondary Image URL,Color Category|Features|Occasion|Product Line|Sports League|Sports Team|Items Included,
Home,All Coffee and Tea Appliances & Accessories,Coffee Grinders,Brand|Main Image URL|Product Long Description|Correct Product Name|Product Short Description|Correct Product Type|Assembled Product Height|Assembled Product Length|Assembled Product Width|Body Material|Finish|Food Grinder and Mill Type|is Powered|Model|Product Secondary Image URL,Color Category|Features|Occasion|Product Line|Sports League|Sports Team|Watts,
Home,All Coffee and Tea Appliances & Accessories,Coffee Percolators,Brand|Main Image URL|Product Long Description|Correct Product Name|Product Short Description|Correct Product Type|Assembled Product Height|Assembled Product Length|Assembled Product Width|Body Material|Coffee Percolator Type|Finish|is Powered|Model|Number of Cups|Product Secondary Image URL,Color Category|Features|Occasion|Product Line|Sports League|Sports Team,
Home,All Coffee and Tea Appliances & Accessories,Drip Coffee Makers,Brand|Main Image URL|Product Long Description|Correct Product Name|Product Short Description|Correct Product Type|Assembled Product Height|Assembled Product Length|Assembled Product Width|Assembled Product Width|Body Material|Drip Coffee Maker Type|Finish|is Powered|Model|Number of Cups|Product Secondary Image URL,Color Category|Features|Occasion|Product Line|Sports League|Sports Team,
Home,All Coffee and Tea Appliances & Accessories,Espresso Machine & Coffee-Maker Combos,Brand|Main Image URL|Product Long Description|Correct Product Name|Product Short Description|Correct Product Type|Assembled Product Height|Assembled Product Length|Assembled Product Width|Body Material|Espresso Machine and Coffee-Maker Combo Type|Finish|Model|Number of Cups|Pressure Rating|Recommended Use|Product Secondary Image URL,Color Category|Features|Occasion|Product Line|Sports League|Sports Team,
Home,All Coffee and Tea Appliances & Accessories,Espresso Machine Filter Baskets,Brand|Main Image URL|Product Long Description|Correct Product Name|Product Short Description|Correct Product Type|Assembled Product Height|Case Material|Count|Espresso Machine Filter Basket Type|Finish|Handle Material|Interior Diameter|Manufacturer|Manufacturer Part Number|Product Secondary Image URL,Color Category|Features|Occasion|Product Line|Sports League|Sports Team|Items Included,
Home,All Coffee and Tea Appliances & Accessories,Espresso Machines,Brand|Main Image URL|Product Long Description|Correct Product Name|Product Short Description|Correct Product Type|Assembled Product Height|Assembled Product Length|Assembled Product Width|Body Material|Espresso Machine Type|Finish|is Powered|Model|Pressure Rating|Recommended Use|Product Secondary Image URL,Color Category|Features|Occasion|Product Line|Sports League|Sports Team|Items Included,
Home,All Coffee and Tea Appliances & Accessories,Espresso Tampers,Brand|Main Image URL|Product Long Description|Correct Product Name|Product Short Description|Correct Product Type|Assembled Product Height|Assembled Product Length|Assembled Product Width|Base Diameter|Base Material|Count|Espresso Tamper Type|Finish|Handle Material|Model|Product Secondary Image URL,Color Category|Features|Occasion|Product Line|Sports League|Sports Team,
Home,All Coffee and Tea Appliances & Accessories,Iced Tea Machines,Brand|Main Image URL|Product Long Description|Correct Product Name|Product Short Description|Correct Product Type|Assembled Product Height|Assembled Product Length|Assembled Product Width|Body Material|Finish|Iced Tea Machine Type|is Portable|Model|Number of Cups|Product Secondary Image URL,Color Category|Features|Occasion|Product Line|Sports League|Sports Team|Items Included,
Home,All Coffee and Tea Appliances & Accessories,Single-Serve Brewers,Brand|Main Image URL|Product Long Description|Correct Product Name|Product Short Description|Correct Product Type|Assembled Product Height|Assembled Product Length|Assembled Product Width|Body Material|Finish|Model|Number of Cups|Single-Serve Brewer Type|Product Secondary Image URL,Color Category|Features|Occasion|Product Line|Sports League|Sports Team|Items Included,
Home,All Coffee and Tea Appliances & Accessories,Tea Storage Boxes,Brand|Main Image URL|Product Long Description|Correct Product Name|Product Short Description|Correct Product Type|Assembled Product Height|Assembled Product Length|Assembled Product Width|Case Material|Count|Finish|Number of Compartments|Tea Storage Box Type|Product Secondary Image URL,Color Category|Features|Occasion|Product Line|Sports League|Sports Team,
Home,All Coffee and Tea Appliances & Accessories,Teapots,Brand|Main Image URL|Product Long Description|Correct Product Name|Product Short Description|Correct Product Type|Assembled Product Height|Assembled Product Length|Assembled Product Width|Body Material|Count|Finish|Model|Number of Cups|Teapot Type|Product Secondary Image URL,Color Category|Features|Occasion|Product Line|Sports League|Sports Team|Items Included|Pattern,
Home,All Coffee and Tea Appliances & Accessories,Toddy Cold Brew Systems,Brand|Main Image URL|Product Long Description|Correct Product Name|Product Short Description|Correct Product Type|Assembled Product Height|Assembled Product Length|Assembled Product Width|Body Material|Finish|Model|Number of Cups|Recommended Use|Toddy Cold Brew System Type|Product Secondary Image URL,Color Category|Features|Occasion|Product Line|Sports League|Sports Team|Items Included,
Home,All Coffee and Tea Appliances & Accessories,Turkish Coffee Pots,Brand|Main Image URL|Product Long Description|Correct Product Name|Product Short Description|Correct Product Type|Assembled Product Height|Assembled Product Length|Assembled Product Width|Body Material|Count|Finish|Model|Number of Cups|Turkish Coffee Pot Type|Product Secondary Image URL,Color Category|Features|Occasion|Product Line|Sports League|Sports Team|Items Included,
Home,All Coffee and Tea Appliances & Accessories,Tea Ball Infusers,Brand|Main Image URL|Product Long Description|Correct Product Name|Product Short Description|Correct Product Type|Assembled Product Length|Count|Interior Diameter|Material|Tea Ball Infuser Type|Product Secondary Image URL,Color Category|Features|Occasion|Product Line|Sports League|Sports Team|Items Included,
Home,All Coffee and Tea Appliances & Accessories,Stovetop Coffee Siphons,Brand|Main Image URL|Product Long Description|Correct Product Name|Product Short Description|Correct Product Type|is Assembly Required|Body Material|Finish|Model|Number of Cups|Recommended Use|Stovetop Coffee Siphon Type|Product Secondary Image URL,Color Category|Features|Occasion|Product Line|Sports League|Sports Team|Items Included,
Home,All Coffee and Tea Appliances & Accessories,Stovetop Espresso Pots,Brand|Main Image URL|Product Long Description|Correct Product Name|Product Short Description|Correct Product Type|Body Material|Finish|Model|Number of Cups|Stovetop Espresso Pot Type|Product Secondary Image URL,Color Category|Features|Occasion|Product Line|Sports League|Sports Team,
Home,All Coffee and Tea Appliances & Accessories,Tea Makers,Brand|Main Image URL|Product Long Description|Correct Product Name|Product Short Description|Correct Product Type|Body Material|Finish|is Powered|Model|Number of Cups|Tea Maker Type|Product Secondary Image URL,Color Category|Features|Occasion|Product Line|Sports League|Sports Team|Items Included|Items Included|Items Included,
Home,All Coffee and Tea Appliances & Accessories,Coffee Maker Cleaning Products,Brand|Main Image URL|Product Long Description|Correct Product Name|Product Short Description|Correct Product Type|Cleanser Form|Coffee Maker Cleaning Product Type|Count|Count|Product Secondary Image URL,Color Category|Features|Occasion|Product Line|Sports League|Sports Team|Items Included,
Home,All Coffee and Tea Appliances & Accessories,Coffee Filters,Brand|Main Image URL|Product Long Description|Correct Product Name|Product Short Description|Correct Product Type|Coffee Filter Type|Count|Material|Product Secondary Image URL,Color Category|Features|Occasion|Product Line|Sports League|Sports Team,
Home,All Coffee and Tea Appliances & Accessories,Coffee Maker Carafe Lids,Brand|Main Image URL|Product Long Description|Correct Product Name|Product Short Description|Correct Product Type|Coffee Maker Carafe Lid Type|Finish|Manufacturer|Manufacturer Part Number|Material|Model|Product Secondary Image URL,Color Category|Features|Occasion|Product Line|Sports League|Sports Team|Compatible Brands|Compatible Models,
Home,All Coffee and Tea Appliances & Accessories,Tea Cozies,Brand|Main Image URL|Product Long Description|Correct Product Name|Product Short Description|Correct Product Type|Color|Count|Fabric Content|is Handmade|Product Secondary Image URL,Color Category|Features|Occasion|Product Line|Sports League|Sports Team|Pattern,
