Category,PTG,PT,Required,Optional,ConRequ
Home,Bedding,Bed Blankets,Brand|Correct Product Name|Main Image URL|Product Long Description|Product Short Description|Correct Product Type|Age Group|Assembled Product Length|Assembled Product Weight|Assembled Product Weight UOM|Assembled Product Width|Bed Size|Cleaning Care and Maintenance|Color|Color Category|Count|Fabric Content|Gender|Retail Packaging|Reversible|Product Secondary Image URL,Features|Occasion|Product Line|Sports League|Sports Team|Character|Collection|Grams Per Square Meter (GSM)|Home Decor Style|Pattern|Theme|Thread Count|Weaving Technique,
Home,Bedding,Bed Canopies,Brand|Correct Product Name|Main Image URL|Product Long Description|Product Short Description|Correct Product Type|Age Group|Assembled Product Height|Assembled Product Length|Assembled Product Weight|Assembled Product Weight UOM|Assembled Product Width|Bed Canopy Type|Bed Size|Color|Color Category|Count|Fabric Content|Gender|Retail Packaging|Product Secondary Image URL,Features|Occasion|Product Line|Sports League|Sports Team|Character|Collection|Grams Per Square Meter (GSM)|Home Decor Style|Pattern|Theme|Thread Count,
Home,Bedding,Bed Pillows,Brand|Correct Product Name|Main Image URL|Product Long Description|Product Short Description|Correct Product Type|Age Group|Assembled Product Height|Assembled Product Length|Assembled Product Weight|Assembled Product Weight UOM|Assembled Product Width|Bed Pillow Size|Bed Pillow Type|Color|Color Category|Count|Fabric Content|Firmness|is Filled|Retail Packaging|Shape|Sleep Position|Product Secondary Image URL,Features|Occasion|Product Line|Sports League|Sports Team|Character|Collection|Grams Per Square Meter (GSM)|Home Decor Style|Pattern|Theme|Thread Count|Weaving Technique,Fill Material
Home,Bedding,Bed Rest Pillows,Brand|Correct Product Name|Main Image URL|Product Long Description|Product Short Description|Correct Product Type|Age Group|Assembled Product Height|Assembled Product Length|Assembled Product Weight|Assembled Product Weight UOM|Assembled Product Width|Bed Rest Pillow Type|Color|Color Category|Count|Fabric Content|is Filled|Retail Packaging|Product Secondary Image URL,Features|Occasion|Product Line|Sports League|Sports Team|Character|Collection|Grams Per Square Meter (GSM)|Home Decor Style|Pattern|Theme|Thread Count,Fill Material
Home,Bedding,Bed Sheets,Brand|Correct Product Name|Main Image URL|Product Long Description|Product Short Description|Correct Product Type|Age Group|Assembled Product Length|Assembled Product Weight|Assembled Product Weight UOM|Assembled Product Width|Bed Sheet Type|Bed Size|Color|Color Category|Count|Fabric Content|Gender|Retail Packaging|Product Secondary Image URL,Features|Occasion|Product Line|Sports League|Sports Team|Character|Collection|Grams Per Square Meter (GSM)|Home Decor Style|Pattern|Theme|Thread Count|Weaving Technique,
Home,Bedding,Bed Skirts,Brand|Correct Product Name|Main Image URL|Product Long Description|Product Short Description|Correct Product Type|Age Group|Bed Size|Bed Skirt Type|Color|Color Category|Count|Drop Length|Fabric Content|Retail Packaging|Skirt Type|Product Secondary Image URL,Features|Occasion|Product Line|Sports League|Sports Team|Character|Collection|Grams Per Square Meter (GSM)|Home Decor Style|Pattern|Theme|Thread Count|Weaving Technique,
Home,Bedding,Bedding Sets,Brand|Correct Product Name|Main Image URL|Product Long Description|Product Short Description|Correct Product Type|Age Group|Bed Size|Bedding Set Type|Cleaning Care and Maintenance|Color|Color Category|Count|Fabric Content|Gender|is Filled|Retail Packaging|Reversible|Product Secondary Image URL,Features|Occasion|Product Line|Sports League|Sports Team|Character|Collection|Grams Per Square Meter (GSM)|Home Decor Style|Items Included|Pattern|Theme|Thread Count|Weaving Technique,Fill Material|Fill Power
Home,Bedding,Bed-in-a-Bag,Brand|Correct Product Name|Main Image URL|Product Long Description|Product Short Description|Correct Product Type|Age Group|Bed Size|Cleaning Care and Maintenance|Color|Color Category|Count|Fabric Content|Gender|is Filled|Retail Packaging|Reversible|Product Secondary Image URL,Features|Occasion|Product Line|Sports League|Sports Team|Character|Collection|Grams Per Square Meter (GSM)|Home Decor Style|Items Included|Pattern|Theme|Thread Count|Weaving Technique,Fill Material|Fill Power
Home,Bedding,Bedspreads & Coverlets,Brand|Correct Product Name|Main Image URL|Product Long Description|Product Short Description|Correct Product Type|Age Group|Assembled Product Length|Assembled Product Weight|Assembled Product Weight UOM|Assembled Product Width|Bed Size|Bedspread and Coverlet Type|Cleaning Care and Maintenance|Color|Color Category|Count|Fabric Content|Gender|is Filled|Retail Packaging|Reversible|Product Secondary Image URL,Features|Occasion|Product Line|Sports League|Sports Team|Character|Collection|Grams Per Square Meter (GSM)|Home Decor Style|Pattern|Theme|Thread Count|Weaving Technique,Fill Material|Fill Power
Home,Bedding,Comforters & Duvets,Brand|Correct Product Name|Main Image URL|Product Long Description|Product Short Description|Correct Product Type|Age Group|Assembled Product Length|Assembled Product Weight|Assembled Product Weight UOM|Assembled Product Width|Bed Size|Cleaning Care and Maintenance|Color|Color Category|Comforter and Duvet Type|Count|Fabric Content|Gender|is Filled|Retail Packaging|Product Secondary Image URL,Features|Occasion|Product Line|Sports League|Sports Team|Character|Collection|Grams Per Square Meter (GSM)|Home Decor Style|Pattern|Theme|Thread Count|Weaving Technique,Fill Material|Fill Power
Home,Bedding,Contour Pillows,Brand|Correct Product Name|Main Image URL|Product Long Description|Product Short Description|Correct Product Type|Age Group|Assembled Product Height|Assembled Product Length|Assembled Product Weight|Assembled Product Weight UOM|Assembled Product Width|Bed Pillow Type|Color Category|Count|Firmness|Material|Retail Packaging|Shape|Sleep Position|Product Secondary Image URL,Features|Occasion|Product Line|Sports League|Sports Team,
Home,Bedding,Mattress Encasements,Brand|Correct Product Name|Main Image URL|Product Long Description|Product Short Description|Correct Product Type|Age Group|Assembled Product Length|Assembled Product Width|Attachment Style|Bed Size|Color Category|Count|Fabric Content|is Waterproof|Mattress Encasement Type|Retail Packaging|Product Secondary Image URL,Features|Occasion|Product Line|Sports League|Sports Team,
Home,Bedding,Mattress Pads,Brand|Correct Product Name|Main Image URL|Product Long Description|Product Short Description|Correct Product Type|Age Group|Assembled Product Height|Assembled Product Length|Assembled Product Width|Bed Size|Color Category|Count|Fabric Content|is Filled|is Hypoallergenic|is Waterproof|Mattress Pad and Topper Type|Retail Packaging|Product Secondary Image URL,Features|Occasion|Product Line|Sports League|Sports Team|Pattern,Fill Material
Home,Bedding,Mattress Toppers,Brand|Correct Product Name|Main Image URL|Product Long Description|Product Short Description|Correct Product Type|Age Group|Assembled Product Length|Assembled Product Width|Bed Size|Color Category|Count|is Filled|is Hypoallergenic|is Waterproof|Material|Mattress Pad and Topper Type|Retail Packaging|Thickness|Product Secondary Image URL,Features|Occasion|Product Line|Sports League|Sports Team|Pattern,Fill Material
Home,Bedding,Pillow Protectors,Brand|Correct Product Name|Main Image URL|Product Long Description|Product Short Description|Correct Product Type|Age Group|Assembled Product Length|Assembled Product Width|Bed Pillow Size|Color Category|Count|Fabric Content|is Waterproof|Retail Packaging|Zippered|Product Secondary Image URL,Features|Occasion|Product Line|Sports League|Sports Team,
Home,Bedding,Pillow Shams,Brand|Correct Product Name|Main Image URL|Product Long Description|Product Short Description|Correct Product Type|Age Group|Assembled Product Length|Assembled Product Width|Bed Pillow Size|Cleaning Care and Maintenance|Color|Color Category|Count|Fabric Content|Pillowcase and Pillow Sham Type|Retail Packaging|Product Secondary Image URL,Features|Occasion|Product Line|Sports League|Sports Team|Character|Collection|Grams Per Square Meter (GSM)|Home Decor Style|Pattern|Theme|Thread Count|Weaving Technique,
Home,Bedding,Pillowcases,Brand|Correct Product Name|Main Image URL|Product Long Description|Product Short Description|Correct Product Type|Age Group|Assembled Product Length|Assembled Product Width|Bed Pillow Size|Color|Color Category|Count|Fabric Content|Gender|Pillowcase and Pillow Sham Type|Retail Packaging|Product Secondary Image URL,Features|Occasion|Product Line|Sports League|Sports Team|Character|Collection|Grams Per Square Meter (GSM)|Home Decor Style|Pattern|Theme|Thread Count|Weaving Technique,
Home,Bedding,Quilts,Brand|Correct Product Name|Main Image URL|Product Long Description|Product Short Description|Correct Product Type|Age Group|Assembled Product Length|Assembled Product Weight|Assembled Product Weight UOM|Assembled Product Width|Bed Size|Cleaning Care and Maintenance|Color|Color Category|Count|Fabric Content|Gender|Retail Packaging|Reversible|Product Secondary Image URL,Features|Occasion|Product Line|Sports League|Sports Team|Character|Collection|Grams Per Square Meter (GSM)|Home Decor Style|Pattern|Theme|Thread Count|Weaving Technique,
