Category,PTG,Attributes,combi,Close_Value
Apparel,Full Body Garments,Age Group,ApparelFull Body GarmentsAge Group,Adult$Child$Infant$Newborn$Preemie$Senior$Teen$Toddler$Tween
Apparel,Full Body Garments,Character,ApparelFull Body GarmentsCharacter,"4-Ever Best Friends$Abby Cadabby$Agnes$Air Bud$Air Hogs$Aladdin$Alice$Aliens$Amazing Allyson$Amazing Amanda$Andy'S Mom$Anger$Angry Birds$Anna$Annoying Orange$Ant-Man$Apple Bloom$Applejack$Apu$Aquaman$Ariel$Arya Stark$Aurora$Austin And Ally$Avatar$Baby Alive$Baby Annabell$Baby Born$Baby Boutique$Baby Butterscotch$Baby Jaguar$Baby Shark$Baby Yoda$Backyardigans$Bakugan$Bambi$Bandana Bear$Banzai$Barbie$Barbie Mariposa$Barney$Bart$Bart Simpson$Batgirl$Batman$Battlestar Galactica$B-Daman$B-Daman Crossfire$Beast$Beatrix Potter$Belle$Ben 10$Benny$Bert$Betty Boop$Beywarriors$Beywheelz$Big Bird$Billy Beats Dancing Piano$Bionicle$Black Canary$Black Panther$Black Widow$Blaze And The Monster Machines$Blue Collar Comedy$Blue Falcon$Blue Jean Teddy$Bob The Builder$Bob The Minion$Boo$Bowser$Boyds Bear$Bozo The Clown$Brainy Smurf$Bran Stark$Bratz$Bratzillaz$Brave$Breyer Horses$Brienne Of Tarth$Brother Bear$Browser$Browser Jr.$Bruce$Bubble Guppies$Buffy The Vampire Slayer$Bugs Bunny$Bulbasaur$Bullseye$Bumblebee$Buzz$Buzz Lightyear$Cabbage Patch$Cabbage Patch Kids$Caillou$Camp Rock$Captain America$Captain Marvel$Captain Phasma$Care Bears$Care Bears & Cubs$Casper$Caterpillar$Catwoman$Celia$Cersei Lannister$Charlie Brown$Charmander$Chase$Cheetah Girls$Cheshire Cat$Chewbacca$Chip$Chobits$Chou Chou$Christopher Robin$Chronicles Of Narnia$Chuggington$Cinderella$Classic Cult Movies$Clawdeen Wolf$Cleo De Nile$Clifford$Clifford The Big Red Dog$Clumsy Smurf$Cold Nose Puppies$Cookie Monster$Count Von Count$Crush$Curious George$Cutie Boutique$Cutie Pops$Cyborg$Daenerys Targaryen$Daffy Duck$Dale Earnhardt$Daniel Tiger$Daniel Tiger'S Neighborhood$Daphne$Dark Knight$Darkseid$Darla$Darth Vader$Dc Super Friends$Dc Super Hero Girls$Dc Superheroes$Dc Universe$Deadpool$Dee Dee$Dick Grayson$Diego$Digimon$Dinos$Dinosaur Train$Disgust$Disney Fairies$Disney Princesses$Dizzy Dancers$Doc Hudson$Doc Mcstuffins$Doctor Strange$Doctor Who$Doggie Daycare$Domo$Donatello$Donkey Kong$Doodle Bear$Doodle Bears, Dinos, Monsters, & Dolls$Dora The Explorer$Dorothy$Dory$Dottie Doc Mcstuffins$Dr. Seuss$Draculaura$Dragon Ball Z$Dragon Tales$Drax The Destroyer$Dumbo$Dungeons & Dragons$Dynomutt$Edith$Edna$Eeyore$Elasticgirl$Elena Of Avalor$Elmer Fudd$Elmo$Elsa$Eon Kid$Eve$Evie$Family Guy$Fancy Nancy$Fantastic Four$Fear$Felix The Cat$Ferbie$Fijit Friends$Flash$Flavas$Flintstones$Flo$Fluttershy$Frankie Stein$Fred$Frozone$Fullmetal Alchemist$Furby$Furreal$G.I. Joe$Gamora$Garfield$Gargamel$Gaston$Generator Rex$Ghost Rider$Ghostbusters$Glinda$Gloworm$Godzilla$Goldalicious$Gordan$Green Hornet$Green Lantern$Grinch$Groot$Grouchy Smurf$Grover$Gru$Guardians Of The Galaxy$Guido$Gumby$Gundam$Halo$Hamilton$Hamm$Han Solo$Hanazuki$Handy Manny$Hannah Montana$Hannibal Lecter$Hans$Happy Feet$Harley Quinn$Harry Potter$Hatchimals$Hawkman$Hellboy$Hello Kitty$He-Man$Hey Duggee$High School Musical$Homer$Hulk$Hummer$I Can Be Barbie$Icarly$I-Dog$Indiana Jones$Inuyasha$Iron Man$Iz$Jack-Jack$Jaime Lannister$Jakes & The Neverland Pirates$James P. Sullivan$James The Red Engine$Jasmine$Jessie$Jimmy Neutron$Joker$Jonas Brothers$Jorah Mormont$Joy$Justice League$Kachooz$Kamari$Kanga$Kara Zor-El$Kasey The Kinderbot$Katie$Ken$Kermit The Frog$Khal Drogo$Kim Possible$Kindergarten Babies$King Kong$King Stephan$Kingdom Hearts$Knight Rider$Knights Kingdom$Knights Of The Zodiac$Koopa Troopa$Kre-O$Kristoff$Kung Fu Panda$Kung Zhu$Kylo Ren$La Dee Da$Lady And The Tramp$Lagoona Blue$Lalaloopsy$Lazer Tag$Lefou$Lego Star Wars$Leonardo$Lex Luthor$Lightning Mcqueen$Lilo$Lilo & Stitch$Lion Guard$Lisa$Lisa Simpson$Little Bo-Peep$Little Miss Sunshine$Little Mommy$Little Pet Shop$Little Pond$Little Princess$Little Red Riding Hood$Little Red-Haired Girl$Littlest Pet Shop$Lol Surprise$Lone Ranger$Looney Tunes$Love N' Licks Puppies$Lucy$Luigi$Luke Skywalker$Lumiere$Madagascar$Maisy$Maleficent$Marge$Marge Simpson$Margo$Mario$Mario Bros.$Marlin$Marshall$Marshmallow$Martian Manhunter$Marvel Super Heroes$Marvin The Martian$Masha And The Bear$Mass Effect$Master Shifu$Matchbox$Mater$Max Steel$Megaman$Men In Black$Merida$Michaelangelo$Michigan J. Frog$Mickey Mouse$Miffy$Mighty Beanz$Mike The Knight$Mike Wazowski$Milhouse$Minions$Minnie Mouse$Miss Spider'S Sunny Patch Friends$Moana$Moe$Monster High$Monster University$Monsters & Dolls$Monsters, Inc.$Monsuno$Moxie Girlz$Mr. Burns$Mr. Freeze$Mr. Incredible$Mr. Potato Head$Mr. Spell$Mrs. Claus$Mrs. Pott$Mufasa$Mulan$Munster'S$My Little Pony$Nala$Naruto$Ned Flanders$Nemo$Neopets$Ninja$Novi Stars$Octonauts$Oken$Olaf$Olivia$Oscar The Grouch$Pac-Man$Papa Smurf$Paper Jamz$Peanuts$Penbo$Pepe Le Pew$Peppa Pig$Percy$Phineas And Ferb$Piglet$Pikachu$Pillow Pals$Pink Panther$Pinkalicious$Pinkie Pie$Pirate$Pj Masks$Planes$Po$Pocahontas$Pocoyo$Pokemon$Popeye$Porky Pig$Pound Puppies$Power Rangers$Powerpuff Girls$Precious Moments$Prince Phillip$Princess Amber$Princess Arora$Princess Celestia$Princess Daisy$Princess Hearts By Disney$Princess Jasmine$Princess Leia$Princess Luna$Princess Merida$Princess Peach$Pucci Pets$Pumbaa$Puppy Surprise$Purplelicious$Queen Leah$R2-D2$Rabbit$Rafiki$Rainbow Brite$Rainbow Dash$Ramone$Randall Boggs$Raphael$Rapunzel$Rarity$Real Steel$Red Queen$Rescue Heroes$Rescue Pets$Rex$Rey$Riddler$Rihanna$Robin$Robosapien$Robotech$Robots$Rocket$Rocket Raccoon$Rocky$Roo$Roz$Rubble$Ryder$Sadness$Sally Carrera$Sansa Stark$Santa Claus$Sarabi$Sarafina$Sarge$Scar$Scarecrow$Scarface$Scooby-Doo$Scott Pilgrim$Scrappy Doo$Shaggy$Shake It Up$Shazam!$Shenzi$She-Ra$Sheriff$Shimmer$Shimmer And Shine$Shine$Shopkins$Shrek$Silveralicious$Simba$Sing-A-Ma-Jig$Skeleton$Skeletor$Sky Dancers$Skye$Skylanders$Smurfette$Smurfs$Snoopy$Snow White$Sock Monkey$Sofia The First$Sonic Boom$Sonic The Hedgehog$Sonny Monroe$South Park$Speed Racer$Speedy Gonzales$Spider-Girl$Spider-Man$Spirit Riding Free$Splinter$Spock$Spongebob Squarepants$Squinkies$Squirt$Squirtle$Star-Lord$Stars Of Sport$Sting$Stitch$Storm Hawks$Stormtrooper$Strawberry Shortcake$Sugarbunnies$Suicide Squad$Sully$Sunset Shimmer$Super Why!$Supergirl$Superman$Superman Returns$Sweetie Belle$Swiper The Fox$Switch & Go Dinos$Tamagotchi$Tangled$Taz$Teacup Piggies$Team Umizoomi$Teddy Ruxpin$Teen Titans$Teen Trends$Teenage Mutant Ninja Turtles$Teletubbies$Terminator$Thanos$That'S So Raven$The Addams Family$The Aristocats$The Backyardigans$The Cowardly Lion$The Dark Knight Rises$The Dog$The Flash$The Goon$The Incredibles$The Last Airbender$The Mad Hatter$The Muppets$The Penguins Of Madagascar$The Princess And The Frog$The Tin Man$The Wanted$The Wicked Witch Of The West$The Wizard Of Oz$Thomas$Thomas & Friends$Thomas The Tank Engine$Thor$Thundercats$Tia Lung$Tiana$Tico$Tigger$Tigress$Timeless Treasures$Timon$Tinker Bell$Tj Bearytales$Toad$Toby Totbot$Tonka$Tony Hawk$Toto$Transformers$Transparent$T-Rex$Trolls$Trollz$Tron$True Blood$Tsum Tsum$Turning Mecard$Tweety$Tweety Bird$Twilight$Twilight Sparkle$Tyrion Lannister$Ugly Dolls$Umizoomi$Ursula$Vampirina$Vector$Veggietales$Velma$Victorious$Violet Parr$Voltron$Wall-E$Wally West$Walugi$Wario$Waterbabies$Weebles$White Queen$White Rabbit$Wiggles$Winnie The Pooh$Winnie The Pooh & Friends$Winnie-The-Pooh$Winx Club$Witch$Wolverine$Wonder Woman$Woodstock$Woody$World Of Nintendo$Wow! Wow! Wubbzy!$X-Men$Yoda$Yoshi$Yosomite Sam$Yu-Gi-Oh!$Yummy Land$Zazu$Zoids$Zuma"
Apparel,Full Body Garments,Clothing Back Style,ApparelFull Body GarmentsClothing Back Style,Backless$Keyhole Back $Low Back$Open Back$Smocked Back
Apparel,Full Body Garments,Clothing Bottoms Panel Style,ApparelFull Body GarmentsClothing Bottoms Panel Style,Demi Panel$Full Panel $Inset Panel
Apparel,Full Body Garments,Clothing Fit,ApparelFull Body GarmentsClothing Fit,Active Fit$Baggy Fit$Classic Fit$Curvy Fit$Modern Fit$Oversized$Regular$Relaxed Fit$Skinny$Slim$Tailored
Apparel,Full Body Garments,Clothing Leg Bottom Opening Style,ApparelFull Body GarmentsClothing Leg Bottom Opening Style,Elastic Bottom$Open Bottom
Apparel,Full Body Garments,Clothing Length Style,ApparelFull Body GarmentsClothing Length Style,Above Knee$Ankle Length$Asymmetrical$High-Low$Knee Length$Long$Mid-Length$Regular$Short
Apparel,Full Body Garments,Clothing Neck Style,ApparelFull Body GarmentsClothing Neck Style,Boat Neck$Collared$Cowl Neck$Crew Neck$Halter$Henley$High Neck$Hooded$Keyhole Neck$Mock Neck$Notch Neck$Plunge$Round Neck$Scoop Neck$Square Neckline$Strapless/Tube$Sweetheart Neckline$Turtleneck$V-Neck
Apparel,Full Body Garments,Clothing Shoulder Style,ApparelFull Body GarmentsClothing Shoulder Style,Cold Shoulder$Cutout$Drop Shoulder$Off the Shoulder$One Shoulder
Apparel,Full Body Garments,Clothing Size Group,ApparelFull Body GarmentsClothing Size Group,Big & Tall$Big Boys$Big Boys Husky$Big Boys Slim$Big Girls$Big Girls Plus$Big Girls Slim$Infant$Juniors$Juniors Plus$Little Boys$Little Boys Husky$Little Boys Slim$Little Girls$Little Girls Plus$Little Girls Slim$Maternity$Maternity Plus$Men$Newborn$Petite$Petite Plus$Regular$Short$Tall$Toddler$Women$Women's Plus$Young Men's
